Name,ID,Genres,Popularity,Followers,URI,Profile Image
The War On Drugs,6g0mn3tzAds6aVeUYRsryU,"chamber pop, indie rock, modern rock, philly indie",62,969389,spotify:artist:6g0mn3tzAds6aVeUYRsryU,https://i.scdn.co/image/ab6761610000e5eb03ef469bbf290d048e6c521d
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,"british invasion, classic rock, merseybeat, psychedelic rock, rock",86,29106698,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433
Charley Crockett,3BJX1nYizKvWpZTY5HOAr4,"new americana, southern americana",61,350972,spotify:artist:3BJX1nYizKvWpZTY5HOAr4,https://i.scdn.co/image/ab6761610000e5eb25d49dc188312efe6b566dac
Khruangbin,2mVVjNmdjXZZDvhgQWiakk,"indie soul, neo-psychedelic, world",73,1986564,spotify:artist:2mVVjNmdjXZZDvhgQWiakk,https://i.scdn.co/image/ab6761610000e5eba63dfeecf7c8d2acf3eeee6b
Rose City Band,4TysFpMssaAsBomBur7jpK,"cascadia psych, neo-psychedelic",34,24875,spotify:artist:4TysFpMssaAsBomBur7jpK,https://i.scdn.co/image/ab6761610000e5eb981144b3c9dc206c9da15e9c
Cut Worms,2upjmNmngAXZcra9dQRR2l,modern psychedelic folk,39,45205,spotify:artist:2upjmNmngAXZcra9dQRR2l,https://i.scdn.co/image/ab6761610000e5eb38cafd24aa1773cb65362a4e
John Mayer,0hEurMDQu99nJRq8pTxO14,"neo mellow, singer-songwriter",78,6108141,spotify:artist:0hEurMDQu99nJRq8pTxO14,https://i.scdn.co/image/ab6761610000e5ebe926dd683e1700a6d65bd835
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap",93,28622937,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a
Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,"album rock, blues rock, classic rock, country rock, folk rock, hard rock, jam band, mellow gold, rock, singer-songwriter, soft rock, southern rock",63,1706588,spotify:artist:4wQ3PyMz3WwJGI5uEqHUVR,https://i.scdn.co/image/ab6772690000c46c08f5d15585b77b0cb059717b
Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",70,6990931,spotify:artist:776Uo845nYHJpNaStv1Ds4,https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814
Wooden Shjips,35rFgnhlSSYflP4HpC3JM0,"neo-psychedelic, psychedelic space rock, space rock",37,99664,spotify:artist:35rFgnhlSSYflP4HpC3JM0,https://i.scdn.co/image/ab6761610000e5eb2d7296444854ff49f5b2e78b
Patsy Cline,7dNsHhGeGU5MV01r06O8gK,"country, nashville sound",61,914123,spotify:artist:7dNsHhGeGU5MV01r06O8gK,https://i.scdn.co/image/c8eb3a2d38f77a5f9e752036dec6c21f307fbfe2
Delicate Steve,1bNgeTuV3MlkAq64Ybvcq5,"new jersey indie, shimmer pop",45,79489,spotify:artist:1bNgeTuV3MlkAq64Ybvcq5,https://i.scdn.co/image/ab6761610000e5eb877d61e0b371db8a72f9533e
Black Market Karma,1lbkSAoynPSO7OQOFSOdon,"neo-psychedelic, psych gaze",35,13436,spotify:artist:1lbkSAoynPSO7OQOFSOdon,https://i.scdn.co/image/ab6761610000e5eb93b85b7301bab8a9d61504f1
Steely Dan,6P7H3ai06vU1sGvdpBwDmE,"album rock, classic rock, country rock, folk rock, mellow gold, rock, soft rock, yacht rock",69,2350339,spotify:artist:6P7H3ai06vU1sGvdpBwDmE,https://i.scdn.co/image/9d01e4e9aac39b891d684d3d1a5b3a451d7c72bd
Beach House,56ZTgzPBDge0OvCGgMO3OY,"art pop, baltimore indie, dream pop, dreamo, indie rock, indietronica, modern dream pop, pov: indie",74,2441708,spotify:artist:56ZTgzPBDge0OvCGgMO3OY,https://i.scdn.co/image/ab6761610000e5ebb3e38a46a56a423d8f741c09
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,"alternative rock, funk metal, funk rock, permanent wave, rock",84,21843728,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://i.scdn.co/image/ab6761610000e5ebc33cc15260b767ddec982ce8
Boogarins,0ohvsn0lgt51qZUbu9ct4s,"neo-psicodelia brasileira, neo-psychedelic, nova mpb, rock goiano",44,124962,spotify:artist:0ohvsn0lgt51qZUbu9ct4s,https://i.scdn.co/image/ab6761610000e5eba6a25f56b5156128ae95a47e
Eagles,0ECwFtbIWEVNwjlrfc6xoL,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock",80,11287544,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,https://i.scdn.co/image/ab6761610000e5eb0767e116a2307495e37cd7fb
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,"album rock, classic rock, rock, soft rock, yacht rock",83,12513513,spotify:artist:08GQAI4eElDnROBrJRGE0X,https://i.scdn.co/image/ab6761610000e5ebc8752dd511cda8c31e9daee8
bdrmm,4Cx5LnF4WNJIn9SSqyeq9C,"bedroom pop, crank wave, hull indie, nu gaze",40,60826,spotify:artist:4Cx5LnF4WNJIn9SSqyeq9C,https://i.scdn.co/image/ab6761610000e5ebf488b872121d7d1f32ed294b
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,"motown, soul",82,6735697,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,https://i.scdn.co/image/c59faacbed7aa770266bad048660810eca204108
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",81,21353812,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,https://i.scdn.co/image/e69f71e2be4b67b82af90fb8e9d805715e0684fa
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,"album rock, classic rock, mellow gold, rock",79,8063713,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,https://i.scdn.co/image/ab6761610000e5eb4bdaa8c5e65b64f50549c393
Paul McCartney,4STHEaNw4mPZ2tzheohgXB,"classic rock, mellow gold, rock, soft rock",81,5005504,spotify:artist:4STHEaNw4mPZ2tzheohgXB,https://i.scdn.co/image/ab6761610000e5eb03bf2fe26e397122faa3d323
Ofege,05LK9pT8ScfWNT0UbDsyqe,afro psych,37,20105,spotify:artist:05LK9pT8ScfWNT0UbDsyqe,https://i.scdn.co/image/ab67616d0000b273744e90b638204b120a4b6b31
Gene Clark,040Bv6cZTRh30LyyYVXgJX,"baroque pop, cosmic american, country rock, singer-songwriter",37,56372,spotify:artist:040Bv6cZTRh30LyyYVXgJX,https://i.scdn.co/image/28c13674fb1b67c41ce648ce04868075d2377274
Abdallah Oumbadougou,29uudPDBxe9VchRED2cfD6,"desert blues, musique nigerienne, tuareg guitar",18,3537,spotify:artist:29uudPDBxe9VchRED2cfD6,https://i.scdn.co/image/ab6761610000e5ebf6830a1590a88a65dab72972
Causa Sui,1TAcaMoUlvLpTUzh18TzDY,"danish alternative rock, instrumental stoner rock, space rock",30,52466,spotify:artist:1TAcaMoUlvLpTUzh18TzDY,https://i.scdn.co/image/ab6761610000e5eb142bf21519cf5aaccf68331f
Genesis,3CkvROUTQ6nRi9yQOcsB50,"album rock, art rock, classic rock, hard rock, mellow gold, new romantic, progressive rock, rock, soft rock, symphonic rock",69,3520432,spotify:artist:3CkvROUTQ6nRi9yQOcsB50,https://i.scdn.co/image/ab6761610000e5eba6a5c327ebbc1131effef2e0
Clarence Carter,7lffJlv0nRl0sIsHDmo0SB,"soul, southern soul",55,194183,spotify:artist:7lffJlv0nRl0sIsHDmo0SB,https://i.scdn.co/image/d9726c3e0ae6d3b5c55116ae1e857eda058ff309
Orions Belte,3Kzo2BzQIPQW0397gx9rRp,"bergen indie, neo-psychedelic",41,60174,spotify:artist:3Kzo2BzQIPQW0397gx9rRp,https://i.scdn.co/image/ab6761610000e5eb8ff1a17c0b5203618ebf9863
Josh Turner,7vCtweS8UVAXTyau2j0rDT,"contemporary country, country, country road",67,2648600,spotify:artist:7vCtweS8UVAXTyau2j0rDT,https://i.scdn.co/image/ab6761610000e5eb94a3a9f82647f8bb112d9e01
Tedeschi Trucks Band,2gFsmDBM0hkoZPmrO5EdyO,"blues rock, electric blues, jam band, modern blues, roots rock, southern rock",52,447428,spotify:artist:2gFsmDBM0hkoZPmrO5EdyO,https://i.scdn.co/image/ab6761610000e5ebb64fd7661725685a2dc587ec
MF DOOM,2pAWfrd7WFF3XhVt9GooDL,"east coast hip hop, hip hop, instrumental hip hop, rap",78,3601858,spotify:artist:2pAWfrd7WFF3XhVt9GooDL,https://i.scdn.co/image/ab6761610000e5eb6c8167ef48a872b6f190078f
Nas,20qISvAhX20dpIbOOzGK3q,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",74,4011868,spotify:artist:20qISvAhX20dpIbOOzGK3q,https://i.scdn.co/image/ab6761610000e5eb153198caeef9e3bda92f9285
Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,"art pop, chamber pop, indie rock, modern folk rock, neo-psychedelic, noise pop, philly indie, singer-songwriter",55,524591,spotify:artist:5gspAQIAH8nJUrMYgXjCJ2,https://i.scdn.co/image/ab6761610000e5eb887166f654d7d277ec55aec0
Daniel Romano,2kTXvMOmrHVjVewErG5kHD,"alternative country, canadian americana, canadian country, canadian singer-songwriter",35,37705,spotify:artist:2kTXvMOmrHVjVewErG5kHD,https://i.scdn.co/image/ab6761610000e5ebf0c96c1696bff27beb8929ae
The Allman Betts Band,7bVESn103RkOzPhvjpuQTT,southern rock,29,24918,spotify:artist:7bVESn103RkOzPhvjpuQTT,https://i.scdn.co/image/ab6761610000e5ebd4ad704184fd7de47ce2dd1a
Unknown Mortal Orchestra,1LeVJ5GPeYDOVUjxx1y7Rp,"art pop, indie rock, indie soul, indietronica, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop",59,874199,spotify:artist:1LeVJ5GPeYDOVUjxx1y7Rp,https://i.scdn.co/image/ab6761610000e5eb043caa3b5d1ec3aada9f7a6c
Gang Starr,5cMgGlA1xGyeAB2ctYlRdZ,"alternative hip hop, conscious hip hop, east coast hip hop, hardcore hip hop, hip hop",65,1000745,spotify:artist:5cMgGlA1xGyeAB2ctYlRdZ,https://i.scdn.co/image/ab6761610000e5eb85ee94998a936ef47231db39
Boston,29kkCKKGXheHuoO829FxWK,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",67,2906200,spotify:artist:29kkCKKGXheHuoO829FxWK,https://i.scdn.co/image/051ffa17a5832586c6e0f8ee8a705ad15114e9c0
Roadkill Ghost Choir,1oAydpuJQRf27egyjg5mu9,deep new americana,27,13176,spotify:artist:1oAydpuJQRf27egyjg5mu9,https://i.scdn.co/image/ab6761610000e5eb9919a31d0ac488e3e0d78f87
Common,2GHclqNVjqGuiE5mA7BEoc,"alternative hip hop, chicago rap, conscious hip hop, hardcore hip hop, hip hop, political hip hop",62,992194,spotify:artist:2GHclqNVjqGuiE5mA7BEoc,https://i.scdn.co/image/ab6761610000e5eb6354c88f58d8a99b91e0d965
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,"album rock, classic rock, country rock, mellow gold, rock, southern rock, swamp rock",82,7230603,spotify:artist:3IYUhFvPQItj6xySrBmZkd,https://i.scdn.co/image/ab6761610000e5ebd2e2b04b7ba5d60b72f54506
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,"album rock, classic rock, hard rock, rock",78,15009698,spotify:artist:36QJpDe2go2KgaRleHCDTp,https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e
"Crosby, Stills & Nash",2pdvghEHZJtgSXZ7cvNLou,"album rock, classic rock, country rock, folk, folk rock, mellow gold, rock, soft rock",60,1982061,spotify:artist:2pdvghEHZJtgSXZ7cvNLou,https://i.scdn.co/image/b9c086901cca94cab20e8fcdc35bd79c7b39526a
Fats Domino,09C0xjtosNAIXP36wTnWxd,"louisiana blues, new orleans blues, piano blues, rock-and-roll, rockabilly",56,575707,spotify:artist:09C0xjtosNAIXP36wTnWxd,https://i.scdn.co/image/ab6761610000e5eb5305958de2ad389172f3cd78
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop",73,2976505,spotify:artist:0ONHkAv9pCAFxb0zJwDNTy,https://i.scdn.co/image/ab6761610000e5ebc5b88a3924d8318f25f20594
El Michels Affair,0cLrgpG3pW4MX4nD8h6qCc,"afrobeat, funk, instrumental soul",52,196602,spotify:artist:0cLrgpG3pW4MX4nD8h6qCc,https://i.scdn.co/image/ab6761610000e5eb6ca476b9b61c6a4c3574af1b
Jackson Browne,5lkiCO9UQ8B23dZ1o0UV4m,"album rock, classic rock, country rock, folk, folk rock, heartland rock, mellow gold, piano rock, singer-songwriter, soft rock",62,1387339,spotify:artist:5lkiCO9UQ8B23dZ1o0UV4m,https://i.scdn.co/image/ab6761610000e5ebef4b0122d50775167339c7c2
